Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Ivaniel Cavalcante de Oliveira,CheckMat,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Rooster,2,Felipe Pinto da Costa e Silva,Brasa,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Rooster,3,Leandro Lopes Escobar,Soul Fighters BJJ,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Rooster,3,Levy Oliveira Saraiva da Silva,CheckMat,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,1,Pablo da Silva Santos,Gracie Barra,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,2,Carlos Vieira Holanda,CheckMat,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,3,Gabriel Willcox Furley,Brazilian Fight,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,3,José Tiago da Silva Barros,PSLPB Cicero Costha,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,1,Leonardo Fernandes Saggioro,Brazilian Top Team,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,2,Mario Sergio Names Reis,Alliance,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,3,David Juliano Lemes,Calasans BJJ,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,3,Isaque Alberto de Oliveira Paiva,Saikoo Jiu-Jitsu,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,1,Juan Caio Kamezawa da Silva,Alliance,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,2,Michael Alexandre Langhi,Alliance,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,3,Antonio Roberto Crivelari Junior,CheckMat,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,3,Gabriel Rodrigues A. Goulart,Alliance International,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,1,Murilo Silva Ferreira de Santana,Barbosa JJ e MMA,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,2,Adriano Ferreira de Araujo e Silva,Barbosa JJ e MMA,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,3,Gustavo Junqueira,Alliance,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,3,Tiago Coelho Porto Rocha,Alliance,2013,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Medium-Heavy,1,Rodrigo Fajardo,Gracie Barra,2013,Campeonato Brasileiro de Jiu-Jitsu 
