Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Caio Terra,Brasa,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,2,Bruno da Silva Malfacine,Alliance,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Felipe Pinto da Costa e Silva,Brasa,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Ivaniel Cavalcante de Oliveira,CheckMat,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,1,Gabriel Afonso dos Santos Moraes,CheckMat,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,2,Ary de Melo Farias,Atos Jiu-Jitsu,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Daniel Beleza G. de Andrade,SAS Team USA,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Yukinori Sasa,Paraestra Tokyo,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,1,Augusto Lopes Mendes,Soul Fighters BJJ,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,2,Rafael Mendes,Atos Jiu-Jitsu,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Mario Sergio Names Reis,Alliance,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Rubens Charles Maciel,Alliance,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,2,Michael Alexandre Langhi,Alliance,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Lucas Alves Lepri,Alliance,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Rodrigo Benedito Caporal,Atos JJ International,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,1,Otavio Ferreira de Sousa,Gracie Barra,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,2,Claudio Calasans Camargo Júnior,Atos Jiu-Jitsu,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Victor de Oliveira Estima,Gracie Barra,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Vitor Henrique Silva Oliveira,GF Team,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,1,Rômulo Claudio Barral,Gracie Barra,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,2,Braulio de Oliveira Estima,Gracie Barra,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Andre Luiz Leite Galvão,Atos Jiu-Jitsu,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Gustavo Ramos Campos,Atos Jiu-Jitsu,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,1,Rodolfo Vieira Srour,GF Team,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,2,Lucas Joas Gomes Leite,CheckMat USA,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Alexandre Couceiro Ribeiro,Ribeiro Jiu-Jitsu,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Nivaldo de Oliveira Lima,CheckMat,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,1,Bernardo Augusto Rocha de Faria,Alliance,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,2,João Gabriel de Oliveira e S. Rocha,Soul Fighters BJJ,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Luiz Fernando de Azevedo Panza,BARBOSA JIU-JITSU USA,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Rafael Lovato Jr.,Ribeiro Jiu-Jitsu,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,1,Marcus Vinícius Oliveira de Almeida,CheckMat,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,2,Rodrigo Henrique Cavaca,CheckMat,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Abraham J. Marte Messina,Yamasaki Academy International,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Alexander Riis Hilligsoe Trans,CheckMat International,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,1,Marcus Vinícius Oliveira de Almeida,CheckMat,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,2,Rodolfo Vieira Srour,GF Team,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Bernardo Augusto Rocha de Faria,Alliance,2013,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Leonardo Gergis F. Leite,Alliance,2013,World IBJJF Jiu-Jitsu Championship 
