Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Marcos Barreto,Monir,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,2,Marcelo Andrade,Carlson RJ,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,1,Vinicius Magalhaes,Barra Gracie,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,2,Alberto dos Santos,Carlson RJ,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,1,Joao Roque,Lewis-Nova Uniao,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,2,Marco Aurelio,Lewis- Nova Uniao,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Alexandre Carneiro,Barra Gracie,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Marcio Feitosa,Barra Gracie,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Renato Barreto,Rickson-Royler,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Cleber Luciano,Rickson-Royler,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Alexandre Paiva,Rickson-Royler,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Eduardo Conceicao,Rickson-Royler,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Anderson Patrido,Araxa,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Roberto Magalhaes,Barra Gracie,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Saulo Ribeiro,Rickson-Royler,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Saulo Ribeiro,Rickson-Royler,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,1,Luis Roberto Duarte,Carlson RJ,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,2,Fernando Silva,Liga de Cabo Frio,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,1,Roberto Correa,Gracie Barra,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,2,Marcelo Mathias,Equipe Paulista,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Guilherma Santos,Lewis- Nova Uniao,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,Eduardo Galvão,Gracie Barra,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,2,Pedro Santos,Lewis-Nova Uniao,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,1,Regan Machado,Machado Redondo,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,2,Roberto Correa,Barra Gracie,1996,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Eduardo Conceicao,Rickson-Royler,1996,Pan Jiu-Jitsu IBJJF Championship
