Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Rafael Freitas,Gracie Barra,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,2,Felipe Costa,Brasa,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,3,Joseph Capizzi,Renzo Gracie,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,3,Brandon Mullins,Gracie Barra,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,1,Caio Terra,Gracie Fighter,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,2,Bruno da Silva Malfacine,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Daniel Beleza,SAS Team,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Wellington Leal Dias,Gracie Humaita,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,1,Bruno Frazzatto Barbosa,Atos Jiu-Jitsu,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,2,Rafael Mendes Godoy,Atos Jiu-Jitsu,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Eduardo Ramos,Atos JJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Guilherme Mendes,Atos JJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Lucas Alves Lepri,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Michael Langhi,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Augusto Lopes Mendes,Soul Fighters,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Jonathan Torres,Lloyd Irvin M.A Academy,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Claudio Calasans Junior,Atos JJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Lucas Joao Gomes Leite,Checkmat BJJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Clark Gracie,BJJ Revolution Team,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Gilbert Burns,Atos JJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Andre Galvao,Atos JJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Eduardo Santoro de Camargo,Cia Paulista,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Otavio de Souza,Gracie Barra,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Diego Gamonal,Brazilian Top Team,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,1,Rodolfo Vieira,GF Team,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,2,Bernardo Augusto Rocha Faria,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Roberto Camargo de Alencar,Gracie Barra,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Diego Herzog,Ralph Gracie,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,1,Marcus Vinicius O. Almeida,Checkmat BJJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,2,Bruno Bastos,Nova Uniao,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Filippi Soto Matos,Barbosa JJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Alberto Silva,Ryan Gracie,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,Antonio Braga Texeira Neto,AB MMA,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,2,Antonio Carlos A. Peinado,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Luiz Felipe Theodoro,Godoi Jiu-Jitsu,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Gabriel Vella,Ryan Gracie,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,1,Rodolfo Vieira,GF Team,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,2,Bernardo Faria,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Marcus Vinicius,Checkmat BJJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Antonio Braga Neto,AB MMA,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Light Feather,1,Gezary Matuda Kubis Bandeira,American Top Team,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Light Feather,2,Angelica Vieira Ferreira,Atos JJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Light Feather,3,Melissa Haueter,COMBAT BASE,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Light Feather,3,Shiho Yaginuma,UNPLUGGED KOKUBUNJI,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Feather,1,Michelle Zonato Nicolini,Checkmat BJJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Feather,2,Fabiana Alves Borges,Gracie Barra,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Feather,3,April Robinson,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Feather,3,Bruna Noemi Ribeiro,Atos JJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Light,1,Beatriz de Oliveira Mesquita,Gracie Humaita,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Light,2,Ana Carolina Lebre,Gracie Humaita,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Middle,1,Luanna Alzuguir Marton Moraes,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Middle,2,Hannete Staack,Brazil 021,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Middle,3,Vanessa Oliveira,GF Team,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Middle,3,Hillary Williams,The Avengers,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Medium Heavy,1,Luiza Monteiro,Checkmat BJJ,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Heavy,1,Gabrielle Lemos Garcia,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Heavy,2,Tammy Griego,Gracie Barra,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Heavy,3,Katrina Ann Weilbacher,Paragon Academy,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Heavy,3,Luciana Dias,Gracie Humaita,2011,Pan Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Open Class,1,Luanna Alzuguir Marton Moraes,Alliance,2011,Pan Jiu-Jitsu IBJJF Championship
