Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Bruno Malfacine,Alliance,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,2,Caio Terra,Gracie Elite Team,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,3,Felipe Costa,Brasa,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,3,Rafael Freitas,Gracie Barra,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,1,Pablo Silva,Gracie Barra,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,2,Samuel Braga,Gracie Barra,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Daniel Beleza,SAS (Sa Team),2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Laercio Fernandes,Lotus Club,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,1,Rafael Mendes,Atos JJ,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,2,Rubens Charles Maciel,Alliance,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Mario Reis,Gracie Barra,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Denilson Pimenta,GF Team,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Michael Langhi,Alliance,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Celso Venicius Alves,Gracie Elite Team,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Lucas Lepri,Alliance,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Gilbert Alexander Burns,Atos JJ,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Marcelo Garcia,Alliance,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Claudio Calasans,Atos,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Kayron Gracie,Gracie Barra,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Sergio Moraes,Alliance,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Tarsis Humphreys,Alliance,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Romulo Barral,Gracie Barra,2010,World Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Eduardo Telles,Brasa,2010,World Jiu-Jitsu IBJJF Championship
