Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Caio Terra,Gracie Elite Team,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,2,Rafael Freitas,Gracie Barra,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Fabbio Passos de Alencar,Alliance,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Koji Shibamoto,Tri-Force Jiu-Jitsu Academy,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,1,Bruno da Silva Malfacine,Alliance,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,2,Guilherme Mendes,Atos Jiu-Jitsu,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Henrique Rezende Costa e Silva,Alliance,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Laercio Fernandes,Lotus Club Jiu-Jitsu,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,1,Rafael Mendes,Atos Jiu-Jitsu,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,2,Rubens Charles Maciel,Alliance,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Mario Sergio Names Reis,Alliance,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Michael Lee Fowler,Atos Jiu-Jitsu,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,2,Lucas Alves Lepri,Alliance,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Philipe Cançado Della Monica,Gracie Barra America,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Vinícius Tavares Marinho,GF Team,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,1,Claudio Calasans Camargo Júnior,Atos Jiu-Jitsu,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,2,Victor de Oliveira Estima,Gracie Barra,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Clark Rouson Gracie,Gracie Elite Team,2012,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Kron Gracie,Rickson Gracie Jiu-Jitsu,2012,Pan IBJJF Jiu-Jitsu Championship 
