Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Thalison Vitorino Soares,Art of Jiu Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,2,Francisco Jonas Borges Andrade,Cicero Costha Internacional,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Oziel Santos de Carvalho,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Tadiyah William Danforth,Foundry BJJ,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,1,Meyram Maquiné Alves,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,2,Anderson Delfino Duarte Júnior,Atrium Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Jefferson Veloso Fagundes,Cicero Costha Internacional,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,seo Seok Hyeon,Over Limit BJJ International,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,1,Kennedy Leonardo Maciel,Alliance,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,2,Alexssandro Pinto Sodré,Team Kimura KMR,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Ademir Barreto de Araújo,GFTeam - Jiu Art,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Raimundo Diego Pinto Sodre,Team Kimura KMR,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,1,Elijah Amir Dorsey,Team Lloyd Irvin,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,2,Espen  Mathiesen,Mavs,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Natan Chueng Freitas,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Pablo Lavaselli,Art of Jiu Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,1,Micael Ferreira Galvâo,Melqui Galvão Jiu-jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,2,Andy Tomas Murasaki Pereira,Atos Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Fabyury Khrysthyan Texeira Freitas,GFTeam - Jiu Art,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,João Pedro Silva de Souza,DreamArt,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,1,Mauricio de Oliveira Santos Neto,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,2,Wellington Luís Sebastião,Fratres Jiu Jitsu Competition,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Davi Vetoraci De Menezes,Focus Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Horlando de Jesus Monteiro,Team Kimura KMR,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,1,Adam Wardzinski,CheckMat,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,2,Fellipe Andrew Leandro Silva,Alliance,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Lucas Jose Alves de Oliveira,DreamArt,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Pedro Henrique Pinheiro Machado de Souza,Atos Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,1,Erich Munis dos Santos,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,2,Anderson Kauan Gomes Marinho,Infight JJ,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Harryson Santana Pereira,Ataque Duplo,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Rayron Gracie,Renzo Gracie Academy,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,1,Gutemberg de Jesus Santos Pereira,Art of Jiu Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,2,Yatan Martins Bueno,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Kjetil Lydvo,Frontline Academy,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Marcus Vinicius Ribeiro de Siqueira,Alliance,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,1,Gutemberg de Jesus Santos Pereira,Art of Jiu Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,2,Pedro Henrique Pinheiro Machado de Souza,Atos Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Guilherme Wander Lambertucci de Andrade,Gracie Barra,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Mauricio de Oliveira Santos Neto,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Rooster,1,Shelby Lena Murphey,Art of Jiu Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Rooster,2,Giulia Guimarães Gregorut,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Rooster,3,Amber Rymarz-Freitas,Atos Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,1,Jessica Caroline Coelho Dantas,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,2,Mayssa Caldas Pereira Bastos,Art of Jiu Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,3,Diana Thais de Souza Teixeira,Atos Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,3,Rose-Marie el Sharouni,CheckMat,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,1,Margot Ciccarelli,Art of Jiu Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,2,Gabriela Andrelevicius Pereira,Qatar BJJ / Vision Brasil,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,3,Rafaela Alexandra Policarpo da Rosa,CheckMat,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,3,Vitória Damiana Silva de Assis,Double Five,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,1,Júlia de Jesus Alves,GFTeam - Jiu Art,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,2,Vitoria Carollina Araujo Vieira,GFTeam - Jiu Art,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,3,Ludmila Fiori de Araujo,Qatar BJJ / Vision Brasil,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,3,Sabrina Rogéria Ataide B. Gondim,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,1,Thalyta Stefhane Lima Silva,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,2,Ingridd Alves de Sousa,DreamArt,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,3,Natália Zumba de Souza,JFC Almeida JJ,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,3,Raquel Dayne Kaleialoha Paaluhi,CheckMat,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,1,Aurélie LE Vern,Six Blades Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,2,Sábatha Laís Francisco dos Santos,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,3,Letícia Cardozo de Carvalho,Alliance,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,3,Maria Malyjasiak,Abmar Barbosa Association,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,1,Melissa Stricker Cueto,Alliance,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,2,Izadora Cristina Silva,DreamArt,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,3,Amanda Magda de Oliveira,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,3,Maria Carolina Barón Vicentini,DreamArt,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Super-Heavy,1,Gabrieli Pessanha de Souza Marinho,Infight JJ,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Super-Heavy,2,Tayane Porfírio de Araújo,Qatar BJJ / Vision Brasil,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Super-Heavy,3,Maryanna Santos Cardoso,CheckMat,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Super-Heavy,3,Yara Soares do Nascimento,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,1,Gabrieli Pessanha de Souza Marinho,Infight JJ,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,2,Thalyta Stefhane Lima Silva,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,3,Melissa Stricker Cueto,Alliance,2024,European IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,3,Yara Soares do Nascimento,Fratres Brazilian Jiu-Jitsu,2024,European IBJJF Jiu-Jitsu Championship 
