Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Light,3,Karel Pravec,Renzo Gracie/Silver Fox
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Light,3,Oscar Junior,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Middle,3,Raphael Chaves,The Armory
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Middle,3,Claudio Cardoso,Gracie Barra Texas
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Medium Heavy,3,Marcello Salazar Bergo,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Medium Heavy,3,Michael Jaramillo,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Heavy,3,Leonardo Dalla,Leo Dalla
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Super Heavy,3,Upiano Malachias,Gracie Barra America
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Super Heavy,3,Rick Macauley,Balance
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Ultra Heavy,3,Robert Constance,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Ultra Heavy,3,Juliano Coutinho,Renzo NYC
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Open Class,3,Lucas Lepri,Alliance
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Black,Male,Open Class,3,Tarsys Humphreys,Alliance
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Brown Black,Female,Feather,1,Fabiana Borges,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Brown Black,Female,Open Class,1,Thayse Nascimento,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Brown Black,Female,Feather,2,Thayse Nascimento,Brazilian Top Team
Pan Jiu-Jitsu No-Gi IBJJF Championship,2008,Adult,Brown Black,Female,Open Class,2,Fabiana Borges,Top Brothers
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Light Feather,1,brandon mullins,Westside MMA
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Feather,1,rodrigo faria,Check Mat Bjj
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Light,1,lucas lepri,Alliance
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Middle,1,daniel moraes,Relson Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Medium Heavy,1,gunnar nelson,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Heavy,1,igor gracie,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Super Heavy,1,andre gusmao,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Ultra Heavy,1,rolles gracie3,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Open Class,1,rafael franca,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Light Feather,2,josef gonzalez,robson moura
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Feather,2,daniel aguiar,Arena
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Light,2,jonathan torres,Lloyd Irvin M.A Academy
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Middle,2,mike jaramillo,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Medium Heavy,2,leonardo ferreira,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Heavy,2,rafael franca,Renzo Gracie
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Super Heavy,2,marco delima,Delima
Pan Jiu-Jitsu No-Gi IBJJF Championship,2009,Adult,Black,Male,Open Class,2,gunnar nelson,Renzo Gracie
