Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Wekcilley Lima,Swiss Morges Team,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Rooster,2,Pablo Teixeira,Brazilian Fight,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,1,Felipe Costa,Brasa,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,2,Bernardo Pitel,Nova Uniao,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Edvaldo Mota,Gracie Barra Caveirinha,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Rodrigo Pereira,Integração,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,1,Reinaldo Ribeiro,Brasa,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,2,Anderson Ailva,Alliance,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Berilo Ferreira Junior,Brazilian Top Team,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Wellington Dias,Gracie Humaita,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Michel Maia,Sul JJ,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Eduardo Pessoa Correa,Nova Uniao,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Paulo Sergio de Souza,Prana JJ,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Augusto Mendes,Renovação,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Alan do Nascimento,Brasa,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Otavio Souza,Gracie Barra,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Victor Estima,Gracie Barra,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Felippe Porto,Brasa,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Alexandre de Souza,Gracie Florianopolis,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Ricardo Oliveira,NCT Suisse,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Eduardo Rios,Brazilian Top Team,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Flavio Serafim,Brazilian Top Team,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,1,Valdir Araujo de Lima Junior,Osvaldo Alves,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,2,Renato Tavares de Moraes,Frontline,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Marcelo Bernardo,Brazilian Power,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Mariusz Linke,Macaco Gold Team,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,1,Marcel Fortuna,Gracie Florianopolis,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,2,Hakim Gouran,BJJ Belgium,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Alessandro de Oliveira,Gracie Barra Nantes,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Thiago Stefanutti,Maromba JJ,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,Luis Felipe de Oliveira,Godoi JJ Club,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,2,Marcio Corleta,Winner,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Jose Mario Rangel,Carioca Brazilian JJ,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Leonardo Ramos,Gracie Barra Reus,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,1,Alexandre Souza,Gracie Florianopolis,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,2,Luis Felipe Teodoro,Godoi JJ Club,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Flavio Serafim,Brazilian Top Team,2008,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Victor Estima,Gracie Barra,2008,European Jiu-Jitsu IBJJF Championship
