Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Feather,1,Augusto Silva,Gracie Barra,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,1,Wellington Dias,Gracie Humaita,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Renato Migliaccio,Gracie Barra,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Mauro Chueng,Rio Grappling Club,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Sergio Vita,Gracie Barra,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Fabricio Camoes,Gracie Barcelona,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Fabricio Nascimento,Kimura Nova Uniao,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,David Giorsetti,Gracie Barra Côte D’Azur,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Ronaldo Souza,Brasa,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Vitor Nobrega,Osvaldo Alves,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,1,Lucio Rodrigues,Gracie Barra,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,2,Fernando Di Piero,Alliance,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,1,Roberto De Abreu,Nova Geração,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,2,Leonardo Ramos,Gracie Curitiba,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,Roger Gracie,Gracie Barra,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,1,Roger Gracie,Gracie Barra,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,2,Ronaldo Souza,Brasa,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Fernando Di Piero,Alliance,2005,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Lucio Rodrigues,Gracie Barra,2005,European Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Feather,1,Leticia Ribeiro,Gracie Barcelona,2005,European Jiu-Jitsu IBJJF Championship
