Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Light Feather,1,Anderson Pereira,Brazilian Top Team,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,2,Alexandre Vasconcelos,Gracie Barra Caveirinha,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Manoel Renato,Gracie Floriana?polis,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,3,Augustin Climent,Sukata Alicante,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,1,Reinaldo Ribeiro,Brasa,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,2,Wellington Dias,Gracie Humaita,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Gilson Dos Santos,Carlson Gracie Team,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Fernando Emanuel,De La Riva,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Philipe Della Monica,Gracie Barra Caveirinha,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Carlos Eduardo,Gracie Barra Caveirinha,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Naoyoshi Watanabe,Tri-Force,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Silvio Alberto,Maromba Jj,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Alan Nascimento,Brasa,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Yan Cabral,Aranha Toulouse,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Marcus Carvalho,Gracie Barra Caveirinha,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Aldo Januario,Gracie Barra Caveirinha,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Raphael Abi-Rihan,Carlson Gracie Team,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Antonio Sergio Cardoso,Carlson Gracie Team,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Felipe Amancio Dias,Akxe Bjj,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,1,Braulio Estima,Gracie Barra,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,2,Lucio Rodrigues,Gracie Barra,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Fernando Di Pierro,Alliance,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,1,Rafael Lovato Jr,Saulo Ribeiro,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,2,Bruno Carvalho,Edson Carvalho,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Marcelo Bernardo,Brazilian Power,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,Bruno Dos Santos,Brasa,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,2,Leonardo Ramos,Gracie Barra Reus,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Ulpiano Malachias,Gracie Barra,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Jose Mario Rangel,Carioca Brazilian Jj,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,1,Braulio Estima,Gracie Barra,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,2,Alexandre Ribeiro,Saulo Ribeiro,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Rafael Lovato Jr,Saulo Ribeiro,2007,European Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Lucio Rodrigues,Gracie Barra,2007,European Jiu-Jitsu IBJJF Championship
Adult,Brown Black,Female,Light,1,Luciana Dias,Gracie Humaita,2007,European Jiu-Jitsu IBJJF Championship
