Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Rodnei Barbosa Gabriel Junior,Zenith BJJ,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Rooster,2,Juan Lopes da Silva,PRM Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Rooster,3,Felipe Rodrigues Giarolla,Zenith BJJ - Brasil,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Rooster,3,Rafael Augusto Santos de Oliveira,CheckMat,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,1,José Tiago da Silva Barros,PSLPB Cicero Costha,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,2,Hiago George Santos Silva,PSLPB Cicero Costha,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,3,Magno Mota Vieira,Brigadeiro Brazilian Jiu-Jitsu,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light-Feather,3,Marcos Suel Silva Santos,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,1,Paulo H. Bordignon Miyao,PSLPB Cicero Costha,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,2,Isaque Alberto de Oliveira Paiva,Saikoo Jiu-Jitsu,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,3,Fabio Murat Caloi,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Feather,3,Luciano Queiroz de Araujo,GF Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,1,Michael Alexandre Langhi,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,2,Juan Caio Kamezawa da Silva,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,3,Sandro Gabriel Vieira,CheckMat,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Light,3,Theodoro Gabriel Canal Almeida,GF Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,1,Jhonny Loureiro Sigallis Souza,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,2,Luan de Carvalho Alves,Nova União,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,3,Claudio de Mattos Cardoso,Gracie Barra,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Middle,3,William Ferreira Dias,Nova União,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Medium-Heavy,1,Renato Guimaraes Cardoso,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Medium-Heavy,2,Patrick Pontes Moura Santos Gaudio,GF Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Medium-Heavy,3,Ruan Marques de Oliveira,Soul Fighters BJJ,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Medium-Heavy,3,William Martins Morais de Lima,Gracie Barra,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Heavy,1,Guilherme Augusto Soares Santos,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Heavy,2,Miguel Angel Alderete,Nova União,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Heavy,3,Cássio Francis da Silva,Gracie Barra,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Heavy,3,Dimitrius Soares Souza,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Super-Heavy,1,Alex Aparecido Soares,Ns Brotherhood,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Super-Heavy,2,Rodrigo Martins Ribeiro da Silva,G13 BJJ,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Super-Heavy,3,Erberth Santos de Mesquita,Ryan Gracie Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Super-Heavy,3,Felipe Menezes Bueno,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Ultra-Heavy,1,Luiz Felipe de Oliveira Theodoro,Tozi Jiu Jitsu,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Ultra-Heavy,2,Igor Gregório Schneider,Ns Brotherhood,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Ultra-Heavy,3,Bruno José Novaes Veloso da Silveira,Nova União,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Open Class,1,Erberth Santos de Mesquita,Ryan Gracie Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Open Class,2,Rodrigo Henrique Cavaca,Zenith BJJ,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Open Class,3,Renato Guimaraes Cardoso,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Male,Black,Open Class,3,Victor Hugo Honório P. da Silva,GF Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Light-Feather,1,Rayanne Amanda Carmo dos Santos,Attack JJ Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Light-Feather,2,Anna Carolina Carmo Correia Ardisson,Halavanca BJJ Brasil,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Light-Feather,3,Alliny Karen Silva Santos,Nova União,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Light-Feather,3,Amanda Mercini Senna Valle,Gracie Barra,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Feather,1,Michelle Zonato Nicolini,CheckMat,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Feather,2,Andressa Lídia de Souza,Barbosa Jiu-Jitsu,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Feather,3,Bianca Andrade Barreto,Gracie Barra,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Feather,3,Glaciane dos Santos Axt,Gracie Humaita,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Middle,1,Luiza Monteiro Moura da Costa,Ns Brotherhood,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Middle,2,Barbara Gomes dos Santos,Universidade Católica de Brasília,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Medium-Heavy,1,Andresa Correa,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Medium-Heavy,2,Tania Mabel Andrade Barrêto,Gracie Barra,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Heavy,1,Samela Shoham Lopes Leite,Ribeiro Jiu-Jitsu,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Heavy,2,Fernanda Mazzelli Almeida Maio,Striker JJ,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Super-Heavy,1,Fabiana Pereira Santos,Zenith BJJ,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Super-Heavy,2,Andréa Mc Comb Pereira,Zenith BJJ,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Ultra-Heavy,1,Talita Andrea Nogueira,Ryan Gracie Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Ultra-Heavy,2,Carina Curvelo Santi,G13 BJJ,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Ultra-Heavy,3,Júlia Cristina Mayworn,GF Team,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Open Class,1,Andresa Correa,Alliance,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Open Class,2,Mackenzie Lynne Dern,Gracie Humaita,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Open Class,3,Fernanda Mazzelli Almeida Maio,Striker JJ,2016,Campeonato Brasileiro de Jiu-Jitsu 
Adult,Female,Black,Open Class,3,Samela Shoham Lopes Leite,Ribeiro Jiu-Jitsu,2016,Campeonato Brasileiro de Jiu-Jitsu 
