Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light Feather,1,Rufino Gomes Araujo Neto,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Feather,1,Leonardo Souza Silva,Evolve Gordo Jiu-Jitsu
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light,1,Davi Ramos Pinheiro da Silva,Top Brothers
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Middle,1,Tiago Gomes Dias Alves,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Medium Heavy,1,Kleber Oliveira Paulino,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Heavy,1,Rafael Bettega Costa,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Super Heavy,1,Antonio Carlos Peinado,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Ultra Heavy,1,Luiz Felipe Oliveira Theodoro,Godoi JJ Club
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Open Class,1,Victor Costa,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light Feather,2,Leandro Escobar,Soul Fighters
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Feather,2,Andre Luis Siqueira Pinheiro,Godoi JJ Club
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light,2,Marcio Rodrigues de Abreu,GF Team Sergipe
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Middle,2,Jonatas Novaes do,Brasa
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Medium Heavy,2,Murilo Silva Ferreira Santana,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Heavy,2,Marcos Maciel de Oliveira,Brazilian Top Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Super Heavy,2,Victor Costa,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Ultra Heavy,2,Igor Silva,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Open Class,2,Nilson Braga,Nova Uniao
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light Feather,3,Diogenes Pedro Borsato Santos,De La Riva
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Feather,3,Jose Luis Santos Varella,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light,3,Helder Medeiros da Silva,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Light,3,Theodoro Gabriel Canal,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Middle,3,Vitor Henrique de Oliveira,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Middle,3,Bruno de Aguiar Ramos,Nine Nine
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Medium Heavy,3,Victor Del Corso Bomfim,Evolve Gordo Jiu-Jitsu
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Medium Heavy,3,Romulo de Souza Azevedo,Welton Ribeiro
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Heavy,3,Jean Vandesteen Braganca,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Heavy,3,Raphael da Costa Goulart,Brazilian Top Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Super Heavy,3,Diego Ballouta Cardoso Braz,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Super Heavy,3,Mauro Jorge Paolino,Soul Fighters
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Ultra Heavy,3,Gabriel Ingenito de Oliveira,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Ultra Heavy,3,Diego Turquino de Oliveira,Gracie Barra Detonando
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Open Class,3,Igor Silva,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Black,Male,Open Class,3,Theodoro Gabriel Canal,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Light Feather,1,Bruna Andre do Nascimento,Top Brothers
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Light,1,Marina Soares Ribeiro Medeiros,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Middle,1,Rosalind Ferreira,Gaviao
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Medium Heavy,1,Luiza Monteiro Moura da,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Heavy,1,Karla Hipolito de Albuquerque,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Open Class,1,Ana Michelle Tavares Dantas,Gracie Humaita
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Light Feather,2,Elizangela Meireles,Gaviao
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Light,2,Ana Michelle Tavares Dantas,Gracie Humaita
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Middle,2,Polyana Lago Barbosa,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Medium Heavy,2,Fernanda Mazzeli Almeida Mai,Striker JJ / Goes
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Heavy,2,Marcela Fernandes Caiafa,Gaviao
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Open Class,2,Polyana Lago Barbosa,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Light,3,Delcia Celia Machado,Asle/Behring
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Medium Heavy,3,Daniela Lirio Olimpio de,Marcelo Ferreira
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Open Class,3,Fernanda Mazzelli Almeida,Striker JJ / Goes
Brazilian National Jiu-Jitsu No-Gi Championship,2010,Adult,Brown Black,Female,Open Class,3,Luiza Monteiro Moura da,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Rooster,1,Marcus Adriano S. Oliveira,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Light Feather,1,Thiago Teixeira do,Equipe Marcio Rodrigues
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Feather,1,Helbert Mitchel Pontes Burns,Gilbert Durinho
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Light,1,Leandro Pereira do,Game Fight BJJ
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Middle,1,Murilo Silva Ferreira Santana,Barbosa JJ
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Medium Heavy,1,Kleber de Oliveira Paulino,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Heavy,1,Mauro Celso,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Super Heavy,1,Frederico Zaganelli,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Ultra Heavy,1,Bruno Bastos Cruz,Nova Uniao
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Open Class,1,Kleber Oliveira,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Rooster,2,Pablo Souza Teixeira,Brazilian Fight
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Light Feather,2,Felipe P. da Costa e Silva,Brasa
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Feather,2,Andre Luis Siqueira Pinheiro,Godoi JJ Club
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Light,2,Theodoro Gabriel Canal,GF Team
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Middle,2,Sandro Gabriel Vieira,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Medium Heavy,2,Victor Del Corso Bom Fim,Evolve Gordo Jiu-Jitsu
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Heavy,2,Nilson Ricardo Silva,Nova Uniao
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Super Heavy,2,Antonio Jose,Gracie Humaita
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Ultra Heavy,2,WO,None
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Open Class,2,Frederico Zaganelli,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Feather,3,Bruno Cardoso Barbosa,Team Buda
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Feather,3,Erick Vinicius Raposo Oliveira,Ac Judson Borges
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Light,3,Kim Terra,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Light,3,Tiago Bravo dos Santos,Brasa
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Middle,3,Luiz Fernando Serao Allevato,Carlson Gracie Team
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Middle,3,Tiago Coelho P. Rocha,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Medium Heavy,3,Rogel Alexandre Monsalve,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Medium Heavy,3,Marcelo Santos Azevedo,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Heavy,3,Diogo Sampaio,Soul Fighters
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Super Heavy,3,Arthur Rosa,DDR Jiu-Jitsu
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Ultra Heavy,3,Rodolfo Garcia de Moraes,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Open Class,3,Alfredo Mikas,Alliance
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Black,Male,Open Class,3,Kim Terra,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Light Feather,1,Bruna Andre do Nascimento,Top Brothers
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Feather,1,Ana Michelle Tavares Dantas,Gracie Humaita
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Light,1,Beatriz de Oliveira Mesquita,Gracie Humaita
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Middle,1,Rosalind Ferreira,Gaviao
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Medium Heavy,1,Luiza Monteiro,Check Mat Bjj
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Heavy,1,Luzia Carmem,Gracie Barra
Brazilian National Jiu-Jitsu No-Gi Championship,2011,Adult,Brown Black,Female,Open Class,1,Beatriz de Oliveira Mesquita,Gracie Humaita
