Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Takeo Antonio Tani,Tani Japan,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,1,Wellington Dias,Acad. Relson Gracie,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light Feather,2,Takao Tadeu Tani,Tani Japan,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,1,Sandro Santiago,Gracie Barra,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,2,Fernando Lopes,Godoi/Macaco,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Feather,3,Ney Cunha,Bolao,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,1,Edson Diniz,Infight,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,2,Mauricio Mariano,Gracie Barra,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Francisco Neto,Yamasaki Ac.,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Light,3,Peter De Been,Gracie Barra,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,1,Bruno Severiano,Gracie Barra,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,2,Fernando Augusto,Alliance,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Regis Lebre,Relson Gracie,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Middle,3,Thiago Cruz,Godoi/Macaco,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Roberto Correa,Gracie Barra,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Gustavo Muggiati,Gracie Barra,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Cassio Werneck,Brazilian Top Team,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Alexandre Ribeiro,Relson Gracie,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,1,Fernando Pontes,Brazilian Top Team,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,2,Fabio Gurgel,Alliance,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Roberto Godoi,Godoi/Macaco,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Heavy,3,Fabio Leopoldo,Gracie Barra,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,1,Roberto Tozi,Godoi/Macaco,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,2,Ricardo Arrivabene,Godoi/Macaco,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Super Heavy,3,Rodolfo Amaro,Equilibrio,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,1,Jorge Patino,Godoi/Macaco,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,2,Garth Taylor,Claudio Franca,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Nilson Liboni,Relson Gracie,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Ultra Heavy,3,Luis Gustavo De Almeida,Tanque,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,1,Alexandre Ribeiro,Relson Gracie,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,2,Fabio Leopoldo,Gracie Barra,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Luis Gustavo De Almeida,Tanque,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Black,Male,Open Class,3,Cassio Werneck,Brazilian Top Team,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Light,1,Alessandra Filha,Machado J-J,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Light,2,Maya Sosnon,Relson Gracie,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Light,3,Cindy Omatso,Machado J-J,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Light,3,Sheila Berolini,Infight,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Middle,1,Luciana Tavares,Relson Gracie,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Middle,2,Marcele Gomes,Relson Gracie,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Middle,3,Tatiana Chaves,Equilibrio,2001,Pan Jiu-Jitsu IBJJF Championship
Adult,Purple Brown Black,Female,Heavy,1,Erica Paes,Osvaldo Alves,2001,Pan Jiu-Jitsu IBJJF Championship
