Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Bruno da Silva Malfacine,Alliance,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,2,João Ricardo Bordignon Miyao,PSLPB Cicero Costha,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Ivaniel Cavalcante de Oliveira,CheckMat,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Jorge Elias Bucaram Santistevan,Alliance International,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,1,Guilherme Mendes,Atos Jiu-Jitsu,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,2,Paulo H. Bordignon Miyao,PSLPB Cicero Costha,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Carlos Vieira Holanda,CheckMat,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Gabriel Afonso dos Santos Moraes,CheckMat,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,1,Rafael Mendes,Atos Jiu-Jitsu,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,2,Rubens Charles Maciel,Alliance,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Isaque Alberto de Oliveira Paiva,Saikoo Jiu-Jitsu,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Mario Sergio Names Reis,Alliance,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,1,Lucas Alves Lepri,Alliance,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,2,Jonathan Torres,Atos Jiu-Jitsu,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Michael Alexandre Langhi,Alliance,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Roberto Satoshi de Souza,Atos Jiu-Jitsu,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,1,Leandro Lo Pereira do Nascimento,PSLPB Cicero Costha,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,2,Otavio Ferreira de Sousa,Gracie Barra,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Alan Douglas Pereira do Nascimento,CheckMat,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Victor de Oliveira Estima,Gracie Barra,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,1,Rômulo Claudio Barral,Gracie Barra,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,2,Murilo Silva Ferreira de Santana,BARBOSA JIU-JITSU USA,2014,World IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Gustavo Ramos Campos,Atos Jiu-Jitsu,2014,World IBJJF Jiu-Jitsu Championship 
