Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Black,Male,Rooster,1,Takeo Tani,Gracie Barra,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,1,Samuel Braga,Gracie Barra,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,2,Caio Terra,Cesar Gracie,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,3,John Ramirez,Bjj Revolution Team,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light Feather,3,Leandro Escobar,American Top Team,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,1,Rubens Maciel,Alliance,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,2,Shane Rice,Rickson,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,3,Magno Gama,Renzo Gracie,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Feather,3,Diego Correia,Relson Gracie,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,1,Jeff Glover,Alliance,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,2,Daniel Aguiar,Renzo Gracie,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,3,Diego Saraiva,Knuckleup,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Light,3,Joao Silva,Aloisio Silva,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,1,Pablo Popovitch,Team Popovitch,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,2,Daniel Correia,Relson Gracie,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,3,William Cooper,Alliance,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Middle,3,Lucas Leite,Brasa,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,1,Marcel Louzado,Brasa,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,2,Luke Stewart,Ralph Gracie,2007,World Jiu-Jitsu No-Gi IBJJF Championship
Adult,Black,Male,Medium Heavy,3,Joao Felipe Oliveira,Gracie Barra,2007,World Jiu-Jitsu No-Gi IBJJF Championship
