Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Female,Black,Feather,3,Emilie Maxine M. H. Thylin,Gracie Humaita South Bay,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Light,1,Karen Deisy Antunes Girotto Borges,CheckMat,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Light,2,Kiri Noelle Liao,Ribeiro Jiu-Jitsu,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Light,3,Josephine Masiello,de Been 100% Jiu-Jitsu,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Middle,1,Angelica Cabral Firme Galvao,Atos Jiu-Jitsu,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Middle,2,Amanda Loewen,SBG International (SBGI),2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Middle,3,Megan Ann Nevill,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Medium-Heavy,1,Andresa Correa,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Medium-Heavy,2,Leanna Mae G Dittrich,Fight Sports,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Medium-Heavy,3,Monique Ricardo Carvalho,CheckMat,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Open Class,1,Mackenzie Lynne Dern,Gracie Humaita,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Open Class,2,Andresa Correa,Alliance,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Open Class,3,Emilie Maxine M. H. Thylin,Gracie Humaita South Bay,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
Adult,Female,Black,Open Class,3,Tammi Alana Musumeci,Atos Jiu-Jitsu,2015,World Jiu-Jitsu No-Gi IBJJF Championship 
