Age,Gender,Belt,Weight Class,Placing,Competitor Name,Academy Name,Year,Tournament
Adult,Male,Black,Rooster,1,Cícero Lívio Ribeiro S. Paiva,Ares BJJ,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,2,Hiago Gama Sousa,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Kevin Martincowski,Gracie Barra,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Rooster,3,Roiter Lima Silva Junior,Gracie Barra,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,1,Diego Oliveira Batista,Cicero Costha Internacional,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,2,Pedro Paulo Dias Clementino,Carlson Gracie Team,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Carlos Alberto Oliveira da Silva,GF Team,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light-Feather,3,Jordan Vaisman N. Teodosio Silva,Gracie Barra,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,1,Shane Jamil Hill-Taylor,Team Lloyd Irvin,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,2,João Gabriel Batista de Sousa,ZR Team Association,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Fabricio Andrey Batista  Junior,Fight Sports,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Feather,3,Isaac Doederlein,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,1,Johnatha Barbosa Alves,Art of Jiu Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,2,Lucas Sette C. Valente Tobias,Gracie Barra,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Jackson Nagai Hatchwell Junior,CheckMat,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Light,3,Rodrigo Lamounier de Freitas,Rodrigo Freitas Brazilian Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,1,Tainan Dalpra Costa,Art of Jiu Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,2,Yago Vinicius de Souza,Ns Brotherhood,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Jonnatas Gracie Araujo da Silva,Atos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Middle,3,Ronaldo Pereira de Souza Júnior,Atos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,1,André Luiz Novaes Porfirio,Fight Sports,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,2,Pedro Fillipe Serra Marinho,Gracie Barra,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Jaime Soares Canuto,GF Team,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Medium-Heavy,3,Manuel Ribamar V. de Oliveira Filho,Rodrigo Pinheiro BJJ,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,1,Gustavo Espindola Batista,Atos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,2,Adam Wardzinski,CheckMat,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Christopher Passerrello,Tony Passos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Heavy,3,Nathan Albrecht Mendelsohn,Coalition 95,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,1,Fellipe Andrew Leandro Silva,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,2,Guilherme Augusto Soares Santos,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Davi Cabral de Souza,GF Team,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Super-Heavy,3,Devhonte M. Johnson,Unity Jiu-jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,1,Victor Hugo Costa Marques,Six Blades Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,2,Rodrigo Martins Ribeiro da Silva,G13 BJJ USA,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Helton José M. da Silva Junior,Roberto Traven BJJ,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Ultra-Heavy,3,Max dos Santos Gimenis,GF Team,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,1,Fellipe Andrew Leandro Silva,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,2,Gustavo Espindola Batista,Atos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Austin Baker,Gracie Barra,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Male,Black,Open Class,3,Guilherme Augusto Soares Santos,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Rooster,1,Lavinia Francesconi Barbosa,CheckMat,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Rooster,2,Jessamine Jada Khan,Art of Jiu Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,1,Ana Cristina Araujo Rodrigues,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,2,Mayssa Caldas Pereira Bastos,GF Team,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,3,Ann Kneib,Gracie Humaita St. Louis,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light-Feather,3,Naiomi Anaiansi Matthews Martín,Team Ganbaru,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,1,Bianca Barbosa Basilio,Atos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,2,Gabrielle McComb Lima,Atos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,3,Alexa Nicole Yanes,Rodrigo Pinheiro BJJ,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Feather,3,Sophia Marie Dalpra,Art of Jiu Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,1,Nathalie Wan Soares Veras Ribeiro,CheckMat,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,2,Margot Ciccarelli,Unity Jiu-Jitsu International,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,3,Fernanda Sabrina Elias Figueira,Cicero Costha Internacional,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Light,3,Nicole Sullivan,Atos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,1,Luiza Monteiro Moura da Costa,Atos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,2,Andressa Mezari Cintra,Gracie Barra,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,3,Claire North,TAC Team BJJ,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Middle,3,Vannessa Nancy Griffin,Team Lloyd Irvin,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,1,Ana Carolina Vieira Srour,Aviv Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,2,Elisabeth Ann Clay,Ares BJJ,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Medium-Heavy,3,Chloé  McNally,Unity Jiu-jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,1,Maria Malyjasiak,Abmar Barbosa Association,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,2,Melissa Stricker Cueto,Gracie Humaita,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,3,Elizabeth Katherine Mitrovic,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Heavy,3,Maggie Grindatti,Fight Sports,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Super-Heavy,1,Gabrieli Pessanha de Souza Marinho,Infight JJ,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Super-Heavy,2,Yara Soares do Nascimento,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Super-Heavy,3,Michelle Welti,Dominion BJJ,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,1,Yara Soares do Nascimento,Alliance,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,2,Ana Carolina Vieira Srour,Aviv Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
Adult,Female,Black,Open Class,3,Bianca Barbosa Basilio,Atos Jiu-Jitsu,2021,Pan IBJJF Jiu-Jitsu Championship 
